norwegian,english
uvirkelig,unreal
lana,lana
channel,channel
idéen,the idea
formiddag,morning
livstegn,signs of life
følsomt,sensitive
espresso,espresso
aldo,aldo
gunn,gun
smurt,smeared
forretningsreise,business trip
telefonsvareren,the answering machine
ubehagelige,unpleasant
ding,thing
wilkes,wilkes
majones,mayonnaise
stekte,fried
skyver,pushes
nødnummeret,the emergency number
artur,Arthur
alligator,alligator
slept,towed
bat,boat
reinsdyr,reindeer
vikar,substitute
oakland,oakland
kiosken,the kiosk
koret,the choir
kikkerten,the binoculars
syklet,cycled
sicilia,Sicily
serumet,the serum
originalt,original
grus,gravel
mowgli,mowgli
kobles,connect
pyser,pisses
nanna,nanna
fridag,day off
lobos,lobos
skyldtes,was owed
l.,l.
leigh,leigh
røpet,revealed
henning,Henning
kodet,coded
betraktet,considered
antoine,Antoine
lovforslaget,the bill
medvirkning,participation
z.,z.
worth,worth
knerte,knackered
mistanker,suspicions
darlene,the darles
bøter,fines
evakuert,evacuated
anga,enter
forst,first
jekyll,jekyll
sykepleierne,the nurses
beklagelig,regrettable
cutter,cutter
snakkende,talking
skamfull,ashamed
hetero,straight
knivstakk,knife stab
fridd,peace
veileder,supervisor
stapp,jam
hodge,hodge
alv,elf
inspektøren,the inspector
håndtrykk,handshake
frelst,saved
medaljongen,the locket
see,see
dolls,dolls
kjøtthue,meat hat
parkering,parking
argentina,Argentina
key,key
følges,is followed
dyra,the animal
nu,now
pied,pied
besinnelsen,the disposition
sub,sub
struktur,structure
bremsen,the brake
dannys,Danny's
fortryllende,enchanting
bandit,bandit
klan,clan
davina,Davina
whistler,whistler
pascal,pascal
materialer,materials
oppfinnelse,invention
nødsituasjon,emergency
barcelona,Barcelona
stappet,stuffed
falk,falcon
innbygger,inhabitant
dyreste,most expensive
kruse,mug
liverpool,liverpool
urter,herbs
voilà,voila
kobe,kobe
cornell,cornel
gnist,spark
damp,steam
lotto,lottery
fangst,capture
langsommere,slower
ritualer,rituals
betrodde,trusted
det.,the.
skeis,shit
gjenopprettet,restored
olga,Olga
mapper,folders
fantaserer,fantasizing
uanmeldt,unannounced
nettsiden,the website
frigjort,liberated
kommunistene,the communists
besteforeldrene,the grandparents
tigeren,the tiger
skades,be damaged
dvale,hibernation
skrue,screw
leland,Leland
organisk,organic
lemlestet,mutilated
pink,pink
ømt,tender
sluker,devours
forutsett,anticipated
avfyrte,fired
mekanisk,mechanical
wilbur,wilbur
candace,candace
arkiv,archives
dyrere,more expensive
berørte,affected
valium,valium
ringo,ring
digital,digital
feier,sweeping
beate,beat
kollegaene,the colleagues
gresskar,pumpkin
hytten,the cabin
kausjonen,the bail
verge,guardian
utrettet,accomplished
hola,hola
lår,thigh
bedrar,deceives
skjenke,pour
dufter,smells
grunnlegger,founder
hesselboe,hesselboe
scoret,scored
torturerer,tortures
lillefingeren,little finger
smalt,narrow
gransker,examines
beger,beaker
sarkastisk,sarcastic
gjennomreise,transit
havs,sea
forretningsmenn,businessmen
oppspilt,played up
saksøkt,defendant
katja,Katya
hjembyen,hometown
solbrillene,the sunglasses
cohen,cohen
xavier,Xavier
signor,sir
kuene,the cows
komma,comma
ramirez,Ramirez
makkeren,the mate
leila,Leila
gjenværende,remaining
forklaringer,explanations
småprat,small talk
lockhart,lockhart
suverent,superbly
usikkert,uncertain
rollene,the roles
lucius,lucius
seirer,wins
scener,scenes
hara,hara
jungel,jungle
puck,puck
regent,regent
selvtilliten,self-confidence
tyskeren,the german
kodenavn,code name
kunstnerisk,artistically
skikker,customs
patruljerer,patrolling
how,how
bleie,diaper
gamble,gamble
returnert,returned
skjerpet,sharpened
utkast,draft
spionerte,spied on
telte,tents
edwin,edwin
infeksjonen,the infection
blomstre,flourish
veide,weighed
velstand,affluence
turnering,tournament
tids,time
got,got
sykepleiere,nurses
dolly,dolly
backpage,backpage
fylket,the county
antarktis,Antarctica
gym,gym
trette,tired
hyggeligere,nicer
spence,spence
opprører,rebel
beryktet,infamous
utkledd,dressed up
drøfte,discuss
gemma,save
inspirerer,inspires
harmon,harmony
tilbakeslag,setback
opprette,create
visum,visa
gnisten,the spark
garde,guard
psykiateren,the psychiatrist
egan,ego
atom,atom
blid,gentle
seksti,sixty
modigste,bravest
-tallet,- the number
geværer,rifles
entusiastisk,enthusiastic
skanne,scan
dudley,dudley
grøft,trench
dottie,Dottie
forlegen,embarrassed
skyldfølelsen,the guilt
panda,panda
vampyren,the vampire
friker,frees
avhører,interrogates
trippel,triple
webster,webster
obduksjon,autopsy
klossete,awkward
sykes,get sick
intensjoner,intentions
arvingen,the heir
kyrne,the cows
arabiske,Arabic
baronen,the baron
lone,salary
hæler,heels
avslappende,relaxing
storebroren,the older brother
winters,winters
yankees,yankees
tygg,chew
befal,commander
replikken,the line
bortførte,abducted
forvirrer,confusing
hette,hood
mestere,champions
tusk,tusk
definere,define
torde,dare
i0,i0
anstendighet,decency
chrissy,chrissy
legehjelp,medical assistance
innlysende,obvious
tabletter,tablets
burnett,Burnett
måneds,monthly
sexlivet,the sex life
sá,so
verdiene,the values
containeren,the container
barberte,shaved
skikkelse,figure
delores,delores
belgia,Belgium
sing,sing
broer,bridges
fordervet,depraved
grunnlagt,founded
theis,theis
lamar,lame
lu,nap
tittet,looked
motsi,contradict
hektisk,hectic
forstyrrende,disturbing
tjenestegjorde,served
forholdsregler,precautions
styring,steering
forsørger,breadwinner
italienere,Italians
spesialstyrkene,the special forces
tokt,trip
nåler,needles
veikanten,roadside
mc,mc
metro,metro
charlies,Charlie
kuppet,the coup
avføring,feces
novak,Novak
bande,band
kroppsdeler,body parts
formasjon,formation
adskilt,separated
svekke,impair
reneste,cleanest
fleipet,joked
titter,watching
protester,protests
bevitne,witness
picasso,picasso
stabilitet,stability
declan,declan
rickard,rickard
trinity,trinity
smører,lubricates
bakpå,behind
jarle,earl
svensson,svensson
tåre,tear
fotografi,photograph
profeten,the prophet
appelsin,orange
betro,confide
missy,Missy
undervurderte,underestimated
klaven,the harpsichord
skrem,frighten
varjeg,each time
ka,ca
unnslipper,escapes
biien,the bee
vantro,disbelief
nudler,noodle
frokostblanding,cereal
gjerrig,stingy
gnir,rubs
sacramento,sacramento
sæden,the semen
tradisjonelle,traditional
magasinet,the magazine
midlene,the funds
sikring,fuse
dødsens,death sense
unnagjort,done
avlingen,the crop
bukk,bow
hjemlandet,homeland
leeds,Leeds
blokker,blocks
duft,fragrance
frisøren,the hairdresser
overgangen,the transition
beskyttende,protective
ballard,ballad
nøtt,nut
timothy,timothy
jonesy,jonesy
utveksle,exchange
djevler,devils
kinamat,Chinese food
kødda,the meat
kriminaliteten,the crime
milner,milner
tygger,chews
godkjennelse,approval
spaken,the lever
foretatt,undertaken
snowden,snowden
tålte,endured
anklene,the ankles
mesterskapet,the championship
hv,wh
bobbie,bobby
blødning,bleeding
konsulatet,the consulate
giovanni,giovanni
duer,pigeons
påvirkning,impact
røntgen,x-ray
hartmann,Hartman
familiemedlem,family member
elle,ell
inngrep,intervention
rutinen,the routine
aksjonen,the action
rettferdige,righteous
pà,on
records,records
bøyde,bent
kontoer,accounts
voff,wow
zoom,zoom
kjerre,cart
genene,the genes
bedøvelse,anesthesia
skjenket,poured
langston,langston
selskapene,the companies
blindt,blindly
sakens,of the case
waters,waters
poppy,poppy
sansene,the senses
nåvel,alas
willow,willow
messe,fair
pr.,per
skjell,shell
majestets,majesty
fikses,fixed
lastebilene,the trucks
tallerkener,plates
kveldsmat,evening meal
barnemat,children's food
stank,stink
presist,precisely
utenkelig,unthinkable
skli,slide
bosch,bosch
appelsiner,oranges
vanilje,vanilla
portal,portal
kjaere,bro
parade,parade
samfunnets,society's
ressurs,resource
gnager,rodent
casa,house
utpekt,designated
kuben,the cube
norbit,norbit
nedenfor,below
finland,Finland
lener,leaning
herover,over here
plastisk,plastic
nåtid,present tense
diggle,diggle
raskest,fastest
lekke,leak
staves,spelled
utstøtt,outcast
forvent,expect
varsomt,carefully
drypper,dripping
utbruddet,the outbreak
idéer,ideas
eileen,the eileen
lillegutt,little boy
morsmål,native language
lommer,pockets
møkkete,mucky
marit,Marit
ovn,furnace
mønstre,patterns
sløyfe,loop
virkeiig,working
tut,tut
verdiløst,worthless
sinker,sinks
engst,anxious
ulåst,unlocked
manuell,manual
slurvete,sloppy
frankrikes,France's
hospital,hospital
merkes,is felt
aj,ouch
protein,protein
mm-hmm,mm-hmm
gudfar,godfather
snodig,whimsical
stilige,stylish
søtere,sweeter
uavhengige,independent
mygg,mosquito
hvajeg,what
kristian,Christian
åsyn,face
davy,davy
støvete,dusty
brikken,the chip
forbød,prohibited
snikmorder,assassin
kaviar,caviar
programmer,programs
uttales,pronounced
t.j.,e.g.
anerkjennelse,recognition
ulla,wool
bing,bing
potetgull,potato chips
elementer,elements
sprette,bounce
lydene,the sounds
alternativene,the options
høste,cough
delikat,delicate
snuser,sniffs
reilly,really
goa,good
magic,magic
oppveksten,the upbringing
kirsebær,cherry
vitaminer,vitamins
mobilene,the mobile phones
forsterker,amplifier
hengiven,devoted
livsstilen,the lifestyle
utganger,outputs
rambo,Rambo
maddox,maddox
visa,display
sunget,sung
intimt,intimate
blandes,mixed
bam,bam
skjerm,screen
innstillingen,the setting
hjemsøker,haunting
statusen,the status
moderate,moderate
komplimenter,compliments
ivy,ivy
målløs,speechless
slukker,extinguishes
cd,cd
formidle,convey
giles,giles
fløt,floated
reyes,Reyes
moira,Moira
massakre,massacre
motiver,motifs
invadert,invaded
lyster,desires
strømper,stockings
oppstyret,the uproar
besvart,answered
verdigheten,the dignity
tappet,drained
western,western
borgerkrig,civil war
bakgården,the backyard
gjemmestedet,the hiding place
satellitter,satellites
streifet,roamed
snytt,cheating
industri,industry
sauene,the sheep
ukomfortabel,uncomfortable
sekt,sect
sovjetiske,Soviet
regionen,the region
mustang,mustang
nifse,whimper
hendrix,Hendrix
kulda,the cold
dei,them
overvurdert,overrated
patruljen,the patrol
ballonger,balloons
stop,stop
godkjenning,approval
fleip,joke
rodrigo,rodrigo
godnatt,good night
favør,favor
not,note
sukkeret,the sugar
synene,the views
korpset,the corps
bandasje,bandage
bless,bless
kristoffer,Kristoffer
reduserer,reduces
gjennomsøke,crawl through
townsend,townsend
robb,rob
tvilling,twin
vilde,savage
entré,entrance
undervurdert,underrated
freeman,freeman
repareres,repaired
royce,royce
reell,real
håpløse,hopeless
vl,vl
motstandere,opponents
prescott,prescott
seal,seal
selgeren,the seller
nyttige,useful
konas,wife's
grande,big
båre,stretcher
overbeviser,convinces
spøken,the joke
passiv,passive
identifiser,identify
personligheten,the personality
reparerte,repaired
humoristisk,humorous
inspisere,inspect
hvalen,the whale
portrett,portrait
befridd,liberated
skammen,the shame
svend,journeyman
overlatt,left over
foretrukket,preferred
ram,frame
kåpen,the coat
manipulerte,manipulated
hanskerommet,the glove compartment
rourke,rourke
økologisk,organically
visiontext,vision text
sigarettene,the cigarettes
synden,the sin
rives,torn
ofres,sacrificed
prime,prime
cristina,cristina
panelet,the panel
seter,seats
gigi,teeth
bøyd,bent
denny,denny
studie,study
diskuteres,is discussed
regina,regina
flanke,flank
kassetten,the cassette
ansiktsuttrykket,the facial expression
sårt,hurt
svakheten,the weakness
innslag,feature
tøyet,the laundry
spøkelsene,the ghosts
uhørt,unheard of
glidelåsen,the zipper
avi,avi
iosava,iosava
look,look
uidentifisert,unidentified
kveid,quince
terrenget,the terrain
place,place
årlig,annual
devereaux,devereaux
pipetonen,the beep
udødelighet,immortality
dresser,suits
investorene,the investors
velsign,bless
forkjølelse,cold
ekspedisjonen,the expedition
kompensere,compensate
eksmann,ex-husband
roxie,roxie
brock,hernia
machete,machete
skylt,rinsed
strømbrudd,power outage
journalistikk,journalism
forbanne,curse
banning,profanity
slagene,the battles
louisa,louisa
jentungen,the baby girl
snorker,snoring
onkels,uncle's
vagt,guard
løv,law
pompeius,Pompey
representanter,representatives
nedtellingen,the countdown
utgjøre,constitute
juveler,jewels
alfredo,Alfredo
rossi,rossi
øyekontakt,eye contact
hoider,keepers
titte,look
formalitet,formality
hailey,Hailey
fristed,sanctuary
stemplet,stamped
ponni,pony
glaner,shines
forvarsel,forewarning
loretta,Loretta
gåsehud,goosebumps
lenken,the link
ziggy,ziggy
iivet,iivet
daddy,daddy
ud,out
x.,x.
tilflukt,refuge
sløsing,waste
løsner,loosens
hk,hp
rykket,jerked
hjemover,back home
salve,ointment
benton,concrete
visning,display
betinget,conditional
barnehage,kindergarten
oui,ouch
appelsinjuice,orange juice
angus,angus
veteran,veteran
rice,rice
harrys,Harry's
vertshuset,the inn
autograf,autograph
nederland,netherlands
ormehull,wormhole
vrøvl,nonsense
ry,reputation
låret,the thigh
pipa,pipe
frist,deadline
storegutt,big boy
simple,simple
mccarthy,mccarthy
suksessen,the success
tilfeldigheter,coincidences
utilgivelig,unforgivable
kirsten,the kirsten
sorger,sorrows
skriften,the writing
tilføye,add
benji,Benji
rocker,rocks
paranoide,paranoid
gennaro,Gennaro
brutus,brutus
vã,what
organiserer,organizes
stapper,stuffing
sparepengene,the savings
sentrale,central
trinnene,the steps
maska,the mask
sleipe,sneaky
kimberly,kimberly
opprinnelse,origin
kayla,Kayla
forbinder,connects
homoseksuelle,homosexuals
mateo,Mateo
betong,concrete
volt,volt
rettferd,justice
returnerte,returned
gjørme,mud
enterprises,enterprises
sunset,sunset
marker,markers
maktesløs,powerless
frir,proposes
morsomste,funniest
sluke,swallow
halskjedet,the necklace
now,now
berettiget,eligible
undergrunnen,underground
apne,open
infiserte,infected
misty,misty
spionasje,espionage
pusekatt,kitty cat
selvmordet,the suicide
ooh,oh
fields,fields
ness,ness
clare,clare
mestre,masters
sjokoladen,the chocolate
haler,tails
messen,the fair
griller,grills
vm,etc
prinsippene,the principles
undervurderer,underestimates
son,son
wichita,wichita
suveren,sovereign
kabel-tv,cable tv
spikeren,the nail
maksimum,maximum
sjela,the soul
paraden,the parade
stjel,steal
neseblod,nosebleed
timeplan,timetable
trylle,conjure
adios,bye
gisselet,the hostage
pudding,pudding
santiago,santiago
ketchup,ketchup
vekter,scales
soda,soda
tal,numbers
søsknene,the siblings
goldman,goldman
signaturen,the signature
kneler,kneeling
svigerfar,father-in-law
dummen,stupid
wolowitz,wolowitz
guzmán,Guzmán
oppløst,dissolved
demokrater,democrats
kvaliteten,the quality
endene,the ends
hvelv,vault
dragene,the dragons
normandie,Normandy
cutty,cutty
eldgammel,ancient
baronesse,baroness
ert,pea
jericho,Jericho
susanne,susanne
afrikansk,African
preken,sermon
dråpen,the drop
plages,bothered
spå,predict
formoder,presumably
helmer,helmets
burgere,burgers
nordøst,northeast
soprano,soprano
tellingen,the count
migrene,migraine
skoledag,school day
coulson,coulson
heltid,full time
cortez,Cortez
nuet,the present
besvarer,answers
för,before
stringer,strings
franc,Franc
hjertestans,cardiac arrest
ydmykhet,humility
forenes,unite
heavy,heavy
tam,tame
udugelige,inept
tradisjonell,traditional
sviker,betrays
ukraina,Ukraine
narkolanger,drug addicts
kompleks,complex
bukse,trousers
uklar,unclear
klandret,blamed
slummen,the slum
meadow,meadow
sabotere,sabotage
forberedelsene,the preparations
break,break
krigeren,the warrior
elskerinnen,the mistress
forbud,prohibition
joker,joker
gadd,bothered
belastning,load
føderalt,federally
berget,the mountain
drittlei,fucking bored
fotballen,the football
omfatter,includes
sjokket,the shock
matilda,matilda
forelska,fall in love
børsen,the stock exchange
joanne,Joanne
strømme,flow
ribbeina,the ribs
lommetørkle,handkerchief
labs,labs
gilly,gilly
radikale,radical
koffein,caffeine
grete,cried
jeremiah,jeremiah
forestående,imminent
titanic,titanic
bajor,bajor
logiske,logical
tilsynsføreren,the supervisor
bankran,bank robbery
kokte,boiled
analysen,the analysis
sykestuen,the infirmary
kjøring,driving
henrettes,executed
småbarn,toddlers
ikveld,tonight
afrikanske,African
metamfetamin,methamphetamine
mendez,Mendez
pupp,boob
påstander,claims
marquez,marquez
baldwin,baldwin
uovervinnelig,invincible
demningen,the dam
lotus,lotus
hasmukh,hasmukh
barton,barton
muhammad,muhammad
skyttere,shooters
horse,horse
parykken,the wig
gerard,Gerard
tyvene,the thieves
flicka,girl
castiel,Castiel
tydeligere,more clearly
stup,plunge
hemingway,hemingway
rehabilitering,rehabilitation
omtanke,consideration
marcia,Marcia
erkebiskopen,the archbishop
beijing,beijing
crew,crew
bjeffer,barks
trakassering,harassment
vulkanen,the volcano
grimes,grimaces
señora,Señora
bann,ban
cecil,cecil
mi6,mi6
iiv,iiv
wickham,wickham
vinci,vinci
freebo,freebo
utfra,from
oppsikt,caution
ungkar,bachelor
dagtid,daytime
solens,the sun's
vestre,west
beboerne,the residents
tabben,the blunder
omega,Omega
festning,fortress
maskerte,masked
computeren,the computer
akseptabelt,acceptable
taperne,the losers
bitre,bitter
angivelig,allegedly
erkjenner,acknowledges
løslates,is released
unntakstilstand,state of emergency
utpå,out
kublai,kublai
agnet,the bait
klarering,clearance
tech,tech
meksikanerne,the Mexicans
emerson,Emerson
laveste,lowest
jegeren,the hunter
realt,real
lambert,Lambert
naturtalent,natural talent
sweeney,sweeney
italiener,Italian
fotografert,photographed
echo,echo
monopol,monopoly
malingen,the paint
foretok,undertook
stanses,is stopped
prioritere,prioritize
delaktig,participatory
danvers,danvers
briter,British
avkom,offspring
porsjon,portion
potensiale,potential
rektoren,the principal
oppmuntring,encouragement
digitale,digital
spaserer,strolling
forståelsesfull,understanding
trengtes,was needed
umoralsk,immoral
forhandling,negotiation
gorilla,gorilla
jegerne,the hunters
salvador,Salvador
spike,spike
kam,comb
hastet,rushed
nã,now
byron,bureau
livvakter,bodyguards
forsyner,supplies
ping,ping
hensynsløs,ruthless
tvilen,the doubt
loggen,the log
forhastet,rushed
hilsener,greetings
sigaretten,the cigarette
lesbe,lesbian
terrassen,the terrace
nikk,nod
stav,staff
voktet,guarded
weiss,weiss
kostymer,costumes
rasen,the breed
vell,well
eies,owned
sleper,tows
sild,herring
buddha,buddha
f.eks.,e.g.
vaginaen,the vagina
cias,cias
bashir,bashir
skjulet,hidden
sukkertøy,candy
benedikt,Benedict
europeisk,European
balltreet,the bat
prakt,splendor
førstedamen,the first lady
voksent,adult
levebrød,livelihood
tilegnet,appropriated
nølte,hesitated
gjenstandene,the objects
trøster,consolation
skywalker,skywalker
fornekter,denies
morderiske,murderous
opererte,operated
rocke,rock
begivenhet,event
trollet,the troll
shopping,shopping
greien,the thing
jodi,jodi
dampen,the steam
livsformer,life forms
toaletter,toilets
olsen,olsen
ledning,cord
presisjon,precision
bram,brah
booth,booth
isolasjon,insulation
spissen,the tip
håndleddene,the wrists
livredde,terrified
ola,hello
muslimske,Muslim
hygger,enjoy
flipper,flipper
vier,weed
brede,wide
lengsel,longing
snøhvit,snow white
avdekket,uncovered
dyktighet,skill
framgang,progress
leukemi,leukemia
nedtelling,countdown
komisk,comical
googlet,googled
telefonkiosk,phone booth
selen,the harness
avla,give birth
meggie,Maggie
dagboka,the diary
galgen,the gallows
rente,interest
laurent,laurent
hoyt,loud
herjet,ravaged
langvarig,long lasting
virkningen,the impact
fyrste,prince
uttrykt,expressed
guru,guru
budapest,Budapest
nominert,nominated
kick,kick
she,she
flørt,flirted
arrestasjonen,the arrest
doser,doses
milwaukee,milwaukee
bakrus,hangover
semesteret,the semester
terrence,terrence
brukbar,usable
tomrom,void
pysete,squeamish
oppholdet,the stay
josephine,josephine
galehuset,the madhouse
sammenlignes,are compared
makaroni,macaroni
ripley,ripley
kammer,chamber
torpedoer,torpedoes
nådeløs,merciless
vulkan,volcano
dronninger,queens
corbett,Corbett
sirup,syrup
landsbyer,villages
sjåfører,drivers
bever,beaver
nøe,something
respekten,the respect
guvernørens,the governor's
konkurrentene,the competitors
øyeblikkene,the moments
gruva,the mine
peyton,peyton
hederlige,honorable
spente,excited
blodprøver,blood tests
baba,baba
lockwood,lockwood
rifler,rifles
rebellene,the rebels
bye,bye
w.,w.
roberta,roberta
rævkjørt,fucked up
tilbakefall,relapse
swanson,Swanson
galninger,lunatics
lojaliteten,the loyalty
gås,goose
sjampanje,champagne
offentliggjøre,make public
stridsvogner,tanks
list,list
albany,albany
fokuserte,focused
race,race
gun,gun
bakre,rear
flyktig,fleeting
omgir,surrounds
bearbeide,process
lucia,Lucia
millimeter,millimeters
øyer,islands
orgie,orgy
ab,ab
amfetamin,amphetamine
ranerne,the robbers
helbreder,heals
angir,indicates
skraper,scraper
milkshake,milkshake
perle,pearl
overnaturlig,supernatural
shaft,shaft
mayfair,mayfair
illegale,illegal
göteborg,Gothenburg
doktorgrad,doctorate
roten,the root
jernet,the iron
hjemlengsel,homesickness
toranaga,toranaga
betryggende,reassuring
hubert,hubbert
snakka,talk
juanita,Juanita
eksotiske,exotic
morna,morning
utelukker,excludes
rettferdiggjør,justify
endeløse,endless
avfyring,firing
helikoptrene,the helicopters
pedofil,pedophile
serveren,the server
hvalene,the whales
hanskes,gloves
frosken,the frog
avgir,emits
forloveren,the fiancé
argumentere,argue
designer,designer
drapsvåpenet,the murder weapon
mercer,mercer
noterer,notes
zealand,zealand
gjör,do
fakke,compartment
maksimal,maximum
flyktning,refugee
bestått,passed
bevares,be preserved
watch,watch
haiti,Haiti
oksygenet,the oxygen
norén,norén
sikkerhetsdepartementet,Ministry of Security
fordøye,digest
neo,neo
geita,the goat
sivilist,civilian
eggerøre,scrambled eggs
rekrutterte,recruited
hvitvin,white wine
ubegrenset,unlimited
elefanten,the elephant
sløret,the veil
kverket,the croak
biitt,bitten
intensiven,the intensive
fristelse,temptation
hjerneskade,brain damage
otis,otis
betviler,doubt
generator,generator
hovedkontoret,head office
visshet,certainty
nadine,Nadine
fär,father
nøyer,settles
kusina,the kitchen
blund,doze
franskmann,Frenchman
scottie,scottie
rådgivere,advisors
ransak,search
hernandez,hernandez
forkjøpet,pre-purchased
parks,parks
tingeling,tingling
glødende,glowing
psykologiske,psychological
rumper,buttocks
globale,global
sprøyten,the syringe
michaela,michaela
utenriksministeren,the Minister of Foreign Affairs
hvaler,whales
overlot,handed over
poster,posts
inviter,invite
håner,taunts
veterinær,veterinarian
cuddy,cuddy
lyger,lying
munken,the monk
turneen,the tour
un,un
bubba,bubba
nelly,Nelly
haiio,hey
eldgamle,ancient
mutant,mutant
industrien,the industry
erotisk,erotic
nemo,Nemo
antikviteter,antiques
kortspill,card game
symptom,symptom
innmari,insider
forventningene,the expectations
piske,whip
monique,Monique
inntraff,occurred
self,self
stall,stable
salvatore,Salvatore
iike,iike
tablettene,the tablets
app,app
hauser,houses
cæsars,Caesar's
forsterke,reinforce
divisjonen,the division
eskene,the boxes
affærer,affairs
atwood,atwood
hyrer,rents
avslutningen,the ending
togene,the trains
rim,rhyme
veps,wasp
aggresjon,aggression
ståpikk,standing cock
registeret,the register
kenya,kenya
limonade,lemonade
petrov,Petrov
fengsle,imprison
spisse,pointed
nicklas,Nicklas
hatfield,Hatfield
tråkk,tread
playboy,playboy
øi,island
missiler,missiles
horehus,brothel
ridende,riding
kiar,car
frister,tempts
påskudd,pretext
uunngåelige,inevitable
foreslått,proposed
wills,wills
hedrer,honors
analyserer,analyzing
siv,reeds
laird,laird
brorskapet,the brotherhood
bakte,baked
nyss,just now
seilt,sailed
krigshelt,war hero
smed,blacksmith
eduardo,eduardo
kidnapperne,the kidnappers
forsiktighet,caution
krystal,crystal
macbeth,macbeth
posisjoner,positions
bernstein,amber stone
dinosaur,dinosaur
cdc,cdc
pilene,the arrows
uret,the clock
sammenstøt,clash
corleone,corleone
rarere,weirder
frisør,hairdresser
busser,buses
bestakk,cutlery
barbarer,barbarians
patsy,patsy
postkontoret,the post office
enstemmig,unanimously
parasitt,parasite
mils,miles
ogjeg,and me
iste,iced tea
talsmann,advocate
driv,drive
dirty,dirty
kathleen,Kathleen
nonner,nuns
tuck,tuck
birch,birch
runket,jerked
pattedyr,mammal
sørgende,grieving
oppsigelse,resignation
sponsor,sponsor
unormalt,abnormal
orkanen,the hurricane
stiftet,founded
springfield,springfield
tolerere,tolerate
bebreider,blames
kurv,basket
omkrets,circumference
mistenkelige,suspicious
ugle,owl
es,es
gjestfriheten,the hospitality
nøttene,the nuts
opphav,origin
mirakelet,the miracle
massakren,the massacre
sleden,the sled
støvelen,the boot
jadzia,Jadzia
latteren,the laughter
never,fists
jarlen,the earl
losji,lodging
forbryterne,the criminals
tynnere,thinner
potetene,the potatoes
padle,paddle
blindvei,dead end
rigget,rigged
stabile,stable
sonden,the probe
konserter,concerts
vekta,the weight
halsbåndet,the necklace
jurij,Jury
hentes,is picked up
vanen,the habit
smugling,smuggling
rus,intoxication
klype,pinch
publisere,publish
astma,asthma
kurer,cures
konservative,conservatives
stresse,stress
blekksprut,squid
buskapen,the livestock
bortskjemte,spoiled
forbryteren,the criminal
raidet,the raid
astor,astor
tålmodige,patient
konsentrasjon,concentration
praha,Prague
skjelett,skeleton
kvikk,nimble
hyle,yell
hisse,hiss
pynt,decoration
gartneren,the gardener
vanne,water
blunket,blinked
livsform,life form
prestasjon,achievement
fist,fist
narret,tricked
ming,min
ekspertene,the experts
sprukket,cracked
republikk,republic
oppfostret,raised
frik,free
lotte,lottery
kontrolleres,is controlled
guthrie,Guthrie
rolling,rolling
tomrommet,the void
robertson,robertson
musikalsk,musical
stengetid,closing time
sikler,drooling
bukta,the bay
viagra,viagra
anubis,anubis
darlig,poor
skjebnens,of fate
liza,liza
puter,pillows
varsom,careful
elanna,Elanna
fontenen,the fountain
brussel,brussels
akilles,achilles
lasagne,lasagna
handikappet,the handicap
laugesen,the guild
gaston,Gaston
ubestemt,indefinite
room,room
kliner,clinch
solstråle,sunbeam
campus,campus
oppgir,states
gymnaset,the gymnasium
hyrte,rented
ernest,ernest
identifikasjon,identification
behøve,need
moskeen,the mosque
matlaging,cooking
forlangt,requested
janie,Janie
shh,shhh
skattene,the taxes
krymper,shrinks
sovjetisk,Soviet
jock,jock
syklene,the bikes
knyte,tie
lyla,Lyla
thackery,thackery
kjennelsen,the ruling
garantier,guarantees
seneste,latest
ulogisk,illogical
morderisk,murderous
emosjonelt,emotional
underjordisk,underground
tidsmaskinen,the time machine
heiier,cheers
rothstein,Rotstone
byrå,agency
impulsiv,impulsive
familiemedlemmer,family members
byggingen,the construction
smiske,spanking
distraksjon,distraction
haien,the shark
tomat,tomato
bloody,bloody
kant,edge
ideelt,ideal
bens,benz
synket,sank
investeringer,investments
glatte,smooth
gravene,the graves
sla,beat
mellommann,intermediary
brennes,is burned
understreke,underline
draktene,the suits
druer,grapes
gjennomgikk,underwent
utføres,is performed
avstå,abstain
preke,preach
sek,Sec
cain,cain
granskning,examination
snyte,cheat
grønnsak,vegetable
issa,now
spolere,spoilers
uttrykte,expressed
drikkingen,the drinking
statistikken,the statistics
låve,barn
fatningen,the socket
idrett,sports
gjennomskuet,seen through
mein,mean
bråke,noise
bidro,contributed
istanbul,istanbul
inspirere,inspire
arbeidskraft,workforce
isabella,Isabella
journalistene,the journalists
veum,veem
kontoene,the accounts
klone,clone
kendall,Kendall
blodtype,blood type
limousin,limousine
narkotikaen,the drug
till,till
soul,soul
nettstedet,the website
sudan,sudan
gjelda,debt
tonight,tonight
berman,Berman
westeros,westeros
kabul,kabul
sjeiken,the sheikh
italienerne,the Italians
oliven,olive
tønner,barrels
trår,steps
pst,pst
zoey,zoey
undersøkes,be investigated
dyna,the duvet
knight,knight
smidig,flexible
klargjøre,clarify
garnisonen,the garrison
kopierte,copied
låtene,the songs
gulrot,carrot
gjørma,the mud
svømmebasseng,swimming pool
solide,solid
bataljonen,the battalion
etterlysning,search warrant
co,co
påske,Easter
foretrakk,preferred
bach,bach
raid,raid
hengivne,devoted
utøve,exercise
kunstige,artificial
hylla,shelf
smiley,smiley
iei,no
høydepunkt,highlight
antennen,the antenna
kinesere,Chinese people
konsept,concept
sollys,sunlight
